FirstName,LastName,Email,Phone,City
John,Smith,john.smith@email.com,555-0101,New York
Jane,Doe,jane.doe@email.com,555-0102,Los Angeles
Bob,Johnson,bob.j@email.com,555-0103,Chicago
Alice,Williams,alice.w@email.com,555-0104,Houston
Charlie,Brown,charlie.b@email.com,555-0105,Phoenix
David,Miller,david.m@email.com,555-0106,Philadelphia
Emma,Davis,emma.d@email.com,555-0107,San Antonio
Frank,Wilson,frank.w@email.com,555-0108,San Diego
George,Taylor,george.t@email.com,555-0109,Dallas
Hannah,Moore,hannah.m@email.com,555-0110,San Jose

