TransactionId,AccountNumber,TransactionType,Amount,TransactionDate,Description
TXN-20240101-001,ACC-1001,Credit,500.00,2024-01-01,Salary Deposit
TXN-20240101-002,ACC-1002,Debit,150.00,2024-01-01,ATM Withdrawal
TXN-20240102-001,ACC-1003,Credit,1200.00,2024-01-02,Wire Transfer
TXN-20240102-002,ACC-1001,Debit,75.50,2024-01-02,Grocery Store
TXN-20240103-001,ACC-1004,Credit,800.00,2024-01-03,Check Deposit
TXN-20240103-002,ACC-1002,Debit,45.99,2024-01-03,Online Purchase
TXN-20240104-001,ACC-1005,Credit,2500.00,2024-01-04,Salary Deposit
TXN-20240104-002,ACC-1003,Debit,200.00,2024-01-04,Restaurant
TXN-20240105-001,ACC-1006,Credit,350.00,2024-01-05,Refund
TXN-20240105-002,ACC-1004,Debit,120.00,2024-01-05,Gas Station

