FirstName,LastName,Email,Phone,City
John,Smith,john.smith@email.com,555-0101,New York
Jane,Doe,jane.doe@email.com,555-0102,Los Angeles
Bob,Johnson,bob.johnson@email.com,555-9999,Chicago
Alice,Williams,alice.williams@email.com,555-8888,Houston
Charlie,Brown,charlie.b@email.com,555-0105,Phoenix
David,Miller,david.m@email.com,555-0106,Philadelphia
Emma,Davis,emma.d@email.com,555-0107,San Antonio
Ian,Anderson,ian.a@email.com,555-0111,Austin
Kate,Jackson,kate.j@email.com,555-0112,Jacksonville
Liam,White,liam.w@email.com,555-0113,Columbus

